feature,coef
not,-0.4693530130518027
have,-0.31196993960738606
do,-0.30541744693030387
up,-0.3023393346142391
work,-0.24916475996125018
one,-0.2457866583432869
batteries,-0.2116497551131746
waste,-0.2067041309208532
all,-0.20522447417145415
thing,-0.20230773091600243
