feature,coef
of,0.3277523770547382
me,0.3264407157207286
great,0.2954203515557292
music,0.25443594707734435
best,0.2523539063828416
with,0.23255837984648806
make,0.22800996901690712
so,0.22480199886628746
loved,0.21617410535614748
just,0.2105231414214711
